time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.64,-0.177936   0.16813  0.343483,-6.18845  1.77944 -1.18487,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 149.175 -61.5586  285.294,-186.567  123.948  145.758,-122.957 -23.7365  329.654,349.795 222.384 321.246
0.65,-0.18055 0.168409 0.326263,  -5.457  1.61084 -1.18782,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,208.148 -86.192 398.661,-174.931  139.738  190.183,-167.816 -33.9141   467.37,376.015 261.031 406.179
0.66,-0.182681   0.16837  0.311741,-4.71574  1.43083 -1.21013,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 263.822 -109.726  506.234,-84.0255  123.563  219.771,-206.657 -44.2654  604.305,295.884 251.407 446.991
0.67,-0.184232  0.167947  0.300653,-3.96267  1.23716 -1.25549,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 310.213 -129.763  596.706,103.335  66.688 227.202,-233.648 -54.0288  729.008,82.6615 179.016 426.065
0.68,-0.185106  0.167078  0.293734,-3.19581  1.02759 -1.32759,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 341.336 -143.903   658.77,266.523 14.7223 228.147,-242.955 -62.4422  830.026,-108.012  110.541      397
0.69,-0.185207  0.165699   0.29172,-2.41316 0.799894 -1.43012,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 351.204 -149.749   681.12, 364.436 -16.4571  228.715,-228.746 -68.7441  895.909,-222.416  69.4567  379.561
0.7,-0.184438  0.163746  0.295346,-1.61274 0.551816 -1.56676,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 333.834 -144.902   652.45, 397.074 -26.8502  228.904,-185.187 -72.1725  915.206,-260.551  55.7618  373.748
0.71,-0.182764  0.161191  0.305047,-0.79894 0.283038 -1.73932,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,  283.24 -126.963  561.453, 364.436 -16.4571  228.715,-106.445 -71.9656  876.465,-222.416  69.4567  379.561
0.72,-0.180394  0.158147   0.32005,-0.00165817 0.000911694    -1.94208,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 193.438 -93.5353  396.823,266.523 14.7223 228.147, 13.3113 -67.3616  768.235,-108.012  110.541      397
0.73,-0.177601  0.154766  0.339279, 0.742823 -0.285293  -2.16745,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 58.4407 -42.2192  147.254,103.335  66.688 227.202, 179.916 -57.5988  579.064,82.6615 179.016 426.065
0.74,-0.174654  0.151196   0.36166,  1.39822 -0.566305  -2.40781,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,-107.677  18.8979 -145.465,-84.0255  123.563  219.771, 361.551 -39.5036  317.844,295.884 251.407 446.991
0.75,-0.171827  0.147587  0.386119,  1.92826 -0.832855  -2.65557,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,-243.949  58.7665 -324.388,-174.931  139.738  190.183, 447.738 -6.95357  49.3463,376.015 261.031 406.179
0.76,-0.16939  0.14409  0.41158, 2.29666 -1.07567 -2.90313,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,-347.611  78.4986 -396.683,-186.567  123.948  145.758, 447.745  36.1648 -211.356,349.795 222.384 321.246
0.77,-0.167614  0.140853  0.436969, 2.46713 -1.28549 -3.14288,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,-420.844  81.8526 -382.962,-146.913  89.1355  95.5118, 380.492  85.2629 -453.872,258.154 156.211 215.178
0.78,-0.166771  0.138028  0.461211, 2.40339 -1.45303 -3.36723,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,-465.828   72.587 -303.837,-83.9475  48.2446  48.4599, 264.902  135.752 -667.811,142.022 83.2578 110.957
0.79,-0.167133  0.135763  0.483231, 2.06917 -1.56903 -3.56857,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,-484.744  54.4605 -179.923,-25.6501  14.2184  13.6175, 119.896  183.044 -842.782, 42.327 24.2722 31.5701
0.8,-0.16897 0.134208 0.501955, 1.42818 -1.62421 -3.73931,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,-479.771  31.2316 -31.8325,-2.27374e-13 -2.27374e-13            0, -35.604  222.549 -968.394,4.54747e-13           0 2.27374e-13
0.81,-0.172431  0.133463  0.516582,0.461144  -1.6127 -3.87475,    0.210021     0.235989 -8.54766e-07, 0.0664317  -0.100744 0.00207909,   -0.419868     0.319352 -6.46815e-07, -0.651552 -0.0255122 0.00208287,-453.091  6.65866  119.822,0 0 0,-182.677   249.68 -1034.26,0 0 0
0.82,-0.177171   0.13342  0.527416,-0.78323 -1.54216 -3.98194,    0.210021     0.235989 -8.54766e-07, 0.0695406  -0.101597 0.00803179,   -0.419868     0.319352 -6.46815e-07,  -0.64797 -0.0255096 0.00804612,-406.883 -15.4997  254.427,0 0 0,  -302.4  259.847 -1029.98,0 0 0
